Amount,Damage Code,Damage Descp,Number of Records,State Abv,State Code
503,91,Fire,1,SD,46
185278,93,Wildlife,1,SD,46
2776269,99,Other (Snow-Lightning-Etc.),1,SD,46
732970,1,Decline in Price,1,TN,47
2663276,11,Drought,1,TN,47
246873,12,Heat,1,TN,47
32908,13,Failure Irrig Supply,1,TN,47
178031,21,Hail,1,TN,47
26686857,31,Excess Moisture/Precip/Rain,1,TN,47
170661,41,Frost,1,TN,47
539236,42,Freeze,1,TN,47
1350948,44,Cold Wet Weather,1,TN,47
9829348,51,Flood,1,TN,47
68154,61,Wind/Excess Wind,1,TN,47
4441,71,Insects,1,TN,47
302403,81,Plant Disease,1,TN,47
20969,82,Mycotoxin (Aflatoxin),1,TN,47
91251,91,Fire,1,TN,47
1675,92,Hurricane/Tropical Depression,1,TN,47
533949,93,Wildlife,1,TN,47
785953,95,House Burn (Pole Burn),1,TN,47
4264,99,Other (Snow-Lightning-Etc.),1,TN,47
4920551,1,Decline in Price,1,TX,48
59780141,11,Drought,1,TX,48
7388218,12,Heat,1,TX,48
37418902,13,Failure Irrig Supply,1,TX,48
38732,14,Failure Irrig Equip,1,TX,48
16919,15,Inability to Prepare Land for Irr,1,TX,48
96653045,21,Hail,1,TX,48
256389043,31,Excess Moisture/Precip/Rain,1,TX,48
45910,41,Frost,1,TX,48
1783199,42,Freeze,1,TX,48
51957,43,Cold Winter,1,TX,48
7114785,44,Cold Wet Weather,1,TX,48
3876139,51,Flood,1,TX,48
6178537,55,Area Plan Crops Only,1,TX,48
16093746,61,Wind/Excess Wind,1,TX,48
5924665,62,Hot Wind,1,TX,48
248553,64,Tornado,1,TX,48
1522799,71,Insects,1,TX,48
1028485,81,Plant Disease,1,TX,48
30871,82,Mycotoxin (Aflatoxin),1,TX,48
3486,91,Fire,1,TX,48
1195462,93,Wildlife,1,TX,48
36590,97,Earthquake,1,TX,48
176848,99,Other (Snow-Lightning-Etc.),1,TX,48
42110,1,Decline in Price,1,UT,49
238999,11,Drought,1,UT,49
217181,12,Heat,1,UT,49
623516,13,Failure Irrig Supply,1,UT,49
69954,21,Hail,1,UT,49
50671,31,Excess Moisture/Precip/Rain,1,UT,49
199058,41,Frost,1,UT,49
374958,42,Freeze,1,UT,49
54858,43,Cold Winter,1,UT,49
8685,44,Cold Wet Weather,1,UT,49
1104403,55,Area Plan Crops Only,1,UT,49
11098,61,Wind/Excess Wind,1,UT,49
52249,62,Hot Wind,1,UT,49
42750,71,Insects,1,UT,49
7501,93,Wildlife,1,UT,49
1673157,1,Decline in Price,1,VA,51
10120701,11,Drought,1,VA,51
2607290,12,Heat,1,VA,51
1094154,21,Hail,1,VA,51
557808,22,Excess Sun,1,VA,51
11659362,31,Excess Moisture/Precip/Rain,1,VA,51
987405,41,Frost,1,VA,51
2453555,42,Freeze,1,VA,51
521324,43,Cold Winter,1,VA,51
403426,44,Cold Wet Weather,1,VA,51
70512,51,Flood,1,VA,51
97125,55,Area Plan Crops Only,1,VA,51
283714,61,Wind/Excess Wind,1,VA,51
23532,71,Insects,1,VA,51
197098,81,Plant Disease,1,VA,51
26409,82,Mycotoxin (Aflatoxin),1,VA,51
572035,93,Wildlife,1,VA,51
71998,99,Other (Snow-Lightning-Etc.),1,VA,51
6733,1,Decline in Price,1,VT,50
68567,11,Drought,1,VT,50
101828,12,Heat,1,VT,50
3079753,31,Excess Moisture/Precip/Rain,1,VT,50
8361,43,Cold Winter,1,VT,50
88214,44,Cold Wet Weather,1,VT,50
2358,93,Wildlife,1,VT,50
16119292,1,Decline in Price,1,WA,53
90434895,11,Drought,1,WA,53
40171344,12,Heat,1,WA,53
1116048,13,Failure Irrig Supply,1,WA,53
8991231,21,Hail,1,WA,53
22,22,Excess Sun,1,WA,53
2332834,31,Excess Moisture/Precip/Rain,1,WA,53
6705821,41,Frost,1,WA,53
6440536,42,Freeze,1,WA,53
6655814,43,Cold Winter,1,WA,53
1973188,44,Cold Wet Weather,1,WA,53
1106309,61,Wind/Excess Wind,1,WA,53
200343,62,Hot Wind,1,WA,53
23655,71,Insects,1,WA,53
97860,81,Plant Disease,1,WA,53
250100,91,Fire,1,WA,53
1542,93,Wildlife,1,WA,53
153832,99,Other (Snow-Lightning-Etc.),1,WA,53
3146360,1,Decline in Price,1,WI,55
10103830,11,Drought,1,WI,55
1288013,12,Heat,1,WI,55
646,13,Failure Irrig Supply,1,WI,55
8924,15,Inability to Prepare Land for Irr,1,WI,55
1899544,21,Hail,1,WI,55
18219010,31,Excess Moisture/Precip/Rain,1,WI,55
857507,41,Frost,1,WI,55
243905,42,Freeze,1,WI,55
6310166,43,Cold Winter,1,WI,55
5475632,44,Cold Wet Weather,1,WI,55
31793,51,Flood,1,WI,55
121428,55,Area Plan Crops Only,1,WI,55
161040,61,Wind/Excess Wind,1,WI,55
97587,71,Insects,1,WI,55
987955,81,Plant Disease,1,WI,55
521411,82,Mycotoxin (Aflatoxin),1,WI,55
198660,93,Wildlife,1,WI,55
27244,95,House Burn (Pole Burn),1,WI,55
2963,97,Earthquake,1,WI,55
1024483,99,Other (Snow-Lightning-Etc.),1,WI,55
11087,1,Decline in Price,1,WV,54
133401,11,Drought,1,WV,54
12986,21,Hail,1,WV,54
376581,22,Excess Sun,1,WV,54
318970,31,Excess Moisture/Precip/Rain,1,WV,54
12605,41,Frost,1,WV,54
199639,42,Freeze,1,WV,54
288,43,Cold Winter,1,WV,54
3318,44,Cold Wet Weather,1,WV,54
27050,61,Wind/Excess Wind,1,WV,54
46203,93,Wildlife,1,WV,54
191391,1,Decline in Price,1,WY,56
53390,11,Drought,1,WY,56
35287,12,Heat,1,WY,56
7164,13,Failure Irrig Supply,1,WY,56
3606177,21,Hail,1,WY,56
1219196,31,Excess Moisture/Precip/Rain,1,WY,56
79426,41,Frost,1,WY,56
796930,42,Freeze,1,WY,56
306818,43,Cold Winter,1,WY,56
262968,44,Cold Wet Weather,1,WY,56
6435,51,Flood,1,WY,56
27776,55,Area Plan Crops Only,1,WY,56
76487,61,Wind/Excess Wind,1,WY,56
5372,62,Hot Wind,1,WY,56
1507,71,Insects,1,WY,56
17754,81,Plant Disease,1,WY,56
7959,93,Wildlife,1,WY,56
